dm32          sin^2(theta23)  DeltaChi2 
0.0022106     0.555            0.803 
0.0022106     0.565            1.011 
0.0022106     0.575            1.284 
0.0022106     0.585            1.634 
0.0022106     0.595            2.075 
0.0022106     0.605            2.623 
0.0022106     0.615            3.295 
0.0022106     0.625            4.107 
0.0022106     0.635            5.080 
0.0022106     0.645            6.230 
0.0022106     0.655            7.577 
0.0022106     0.665            9.139 
0.0022106     0.675           10.935 
0.0022106     0.685           12.984 
0.0022106     0.695           15.301 
0.0022106     0.705           17.905 
0.0022106     0.715           20.810 
0.0022106     0.725           24.030 
0.0022106     0.735           27.579 
0.0022106     0.745           31.469 
0.0022466     0.245           36.470 
0.0022466     0.255           32.150 
0.0022466     0.265           28.181 
0.0022466     0.275           24.553 
0.0022466     0.285           21.257 
0.0022466     0.295           18.278 
0.0022466     0.305           15.604 
0.0022466     0.315           13.220 
0.0022466     0.325           11.109 
0.0022466     0.335            9.254 
0.0022466     0.345            7.638 
0.0022466     0.355            6.242 
0.0022466     0.365            5.048 
0.0022466     0.375            4.036 
0.0022466     0.385            3.189 
0.0022466     0.395            2.487 
0.0022466     0.405            1.914 
0.0022466     0.415            1.451 
0.0022466     0.425            1.084 
0.0022466     0.435            0.796 
0.0022466     0.445            0.576 
0.0022466     0.455            0.410 
0.0022466     0.465            0.288 
0.0022466     0.475            0.203 
0.0022466     0.485            0.147 
0.0022466     0.495            0.117 
0.0022466     0.505            0.109 
0.0022466     0.515            0.124 
0.0022466     0.525            0.163 
0.0022466     0.535            0.230 
0.0022466     0.545            0.330 
0.0022466     0.555            0.473 
0.0022466     0.565            0.666 
0.0022466     0.575            0.923 
0.0022466     0.585            1.255 
0.0022466     0.595            1.678 
0.0022466     0.605            2.206 
0.0022466     0.615            2.858 
0.0022466     0.625            3.650 
0.0022466     0.635            4.601 
0.0022466     0.645            5.730 
0.0022466     0.655            7.056 
0.0022466     0.665            8.597 
0.0022466     0.675           10.373 
0.0022466     0.685           12.401 
0.0022466     0.695           14.700 
0.0022466     0.705           17.285 
0.0022466     0.715           20.173 
0.0022466     0.725           23.378 
0.0022466     0.735           26.913 
0.0022466     0.745           30.789 
0.0022826     0.245           36.210 
0.0022826     0.255           31.894 
0.0022826     0.265           27.930 
0.0022826     0.275           24.309 
0.0022826     0.285           21.019 
0.0022826     0.295           18.049 
0.0022826     0.305           15.384 
0.0022826     0.315           13.009 
0.0022826     0.325           10.909 
0.0022826     0.335            9.064 
0.0022826     0.345            7.459 
0.0022826     0.355            6.074 
0.0022826     0.365            4.890 
0.0022826     0.375            3.889 
0.0022826     0.385            3.051 
0.0022826     0.395            2.359 
0.0022826     0.405            1.793 
0.0022826     0.415            1.338 
0.0022826     0.425            0.976 
0.0022826     0.435            0.694 
0.0022826     0.445            0.477 
0.0022826     0.455            0.313 
0.0022826     0.465            0.192 
0.0022826     0.475            0.106 
0.0022826     0.485            0.048 
0.0022826     0.495            0.014 
0.0022826     0.505            0.000 
0.0022826     0.515            0.007 
0.0022826     0.525            0.037 
0.0022826     0.535            0.093 
0.0022826     0.545            0.181 
0.0022826     0.555            0.310 
