dm32           sin^2(theta23)  DeltaChi2 
-0.0023614     0.365            4.805 
-0.0023614     0.375            3.872 
-0.0023614     0.385            3.092 
-0.0023614     0.395            2.448 
-0.0023614     0.405            1.921 
-0.0023614     0.415            1.496 
-0.0023614     0.425            1.158 
-0.0023614     0.435            0.891 
-0.0023614     0.445            0.683 
-0.0023614     0.455            0.524 
-0.0023614     0.465            0.405 
-0.0023614     0.475            0.317 
-0.0023614     0.485            0.256 
-0.0023614     0.495            0.219 
-0.0023614     0.505            0.204 
-0.0023614     0.515            0.213 
-0.0023614     0.525            0.248 
-0.0023614     0.535            0.315 
-0.0023614     0.545            0.420 
-0.0023614     0.555            0.572 
-0.0023614     0.565            0.783 
-0.0023614     0.575            1.064 
-0.0023614     0.585            1.429 
-0.0023614     0.595            1.894 
-0.0023614     0.605            2.474 
-0.0023614     0.615            3.188 
-0.0023614     0.625            4.052 
-0.0023614     0.635            5.086 
-0.0023614     0.645            6.307 
-0.0023614     0.655            7.735 
-0.0023614     0.665            9.387 
-0.0023614     0.675           11.283 
-0.0023614     0.685           13.439 
-0.0023614     0.695           15.871 
-0.0023614     0.705           18.597 
-0.0023614     0.715           21.629 
-0.0023614     0.725           24.982 
-0.0023614     0.735           28.668 
-0.0023614     0.745           32.695 
-0.0023974     0.245           34.718 
-0.0023974     0.255           30.576 
-0.0023974     0.265           26.783 
-0.0023974     0.275           23.328 
-0.0023974     0.285           20.201 
-0.0023974     0.295           17.386 
-0.0023974     0.305           14.870 
-0.0023974     0.315           12.636 
-0.0023974     0.325           10.666 
-0.0023974     0.335            8.944 
-0.0023974     0.345            7.450 
-0.0023974     0.355            6.166 
-0.0023974     0.365            5.073 
-0.0023974     0.375            4.152 
-0.0023974     0.385            3.383 
-0.0023974     0.395            2.749 
-0.0023974     0.405            2.232 
-0.0023974     0.415            1.815 
-0.0023974     0.425            1.483 
-0.0023974     0.435            1.221 
-0.0023974     0.445            1.018 
-0.0023974     0.455            0.862 
-0.0023974     0.465            0.743 
-0.0023974     0.475            0.655 
-0.0023974     0.485            0.592 
-0.0023974     0.495            0.551 
-0.0023974     0.505            0.531 
-0.0023974     0.515            0.533 
-0.0023974     0.525            0.559 
-0.0023974     0.535            0.615 
-0.0023974     0.545            0.708 
-0.0023974     0.555            0.847 
-0.0023974     0.565            1.043 
-0.0023974     0.575            1.307 
-0.0023974     0.585            1.655 
-0.0023974     0.595            2.101 
-0.0023974     0.605            2.662 
-0.0023974     0.615            3.354 
-0.0023974     0.625            4.197 
-0.0023974     0.635            5.208 
-0.0023974     0.645            6.406 
-0.0023974     0.655            7.810 
-0.0023974     0.665            9.438 
-0.0023974     0.675           11.310 
-0.0023974     0.685           13.441 
-0.0023974     0.695           15.850 
-0.0023974     0.705           18.552 
-0.0023974     0.715           21.561 
-0.0023974     0.725           24.892 
-0.0023974     0.735           28.554 
-0.0023974     0.745           32.561 
-0.0024334     0.245           34.941 
-0.0024334     0.255           30.813 
-0.0024334     0.265           27.034 
-0.0024334     0.275           23.595 
-0.0024334     0.285           20.482 
-0.0024334     0.295           17.683 
-0.0024334     0.305           15.181 
-0.0024334     0.315           12.962 
-0.0024334     0.325           11.008 
-0.0024334     0.335            9.300 
-0.0024334     0.345            7.821 
-0.0024334     0.355            6.551 
-0.0024334     0.365            5.471 
-0.0024334     0.375            4.562 
-0.0024334     0.385            3.805 
-0.0024334     0.395            3.181 
-0.0024334     0.405            2.673 
-0.0024334     0.415            2.265 
-0.0024334     0.425            1.940 
-0.0024334     0.435            1.684 
-0.0024334     0.445            1.485 
-0.0024334     0.455            1.331 
-0.0024334     0.465            1.214 
-0.0024334     0.475            1.125 
-0.0024334     0.485            1.060 
-0.0024334     0.495            1.016 
-0.0024334     0.505            0.990 
-0.0024334     0.515            0.985 
-0.0024334     0.525            1.002 
-0.0024334     0.535            1.048 
-0.0024334     0.545            1.129 
-0.0024334     0.555            1.254 
-0.0024334     0.565            1.435 
-0.0024334     0.575            1.683 
-0.0024334     0.585            2.013 
-0.0024334     0.595            2.439 
-0.0024334     0.605            2.980 
-0.0024334     0.615            3.651 
-0.0024334     0.625            4.471 
-0.0024334     0.635            5.458 
-0.0024334     0.645            6.632 
-0.0024334     0.655            8.012 
-0.0024334     0.665            9.615 
-0.0024334     0.675           11.461 
-0.0024334     0.685           13.568 
-0.0024334     0.695           15.951 
-0.0024334     0.705           18.627 
-0.0024334     0.715           21.611 
-0.0024334     0.725           24.917 
-0.0024334     0.735           28.555 
